Title,Stock Number,Price,Glass/Filter Number,Dia. (mm),Dimensions (mm),Dimensional Tolerance (mm),Thickness (mm),Thickness Tolerance (mm),Surface Quality,FWHM (nm),CWL (nm),Coating,Color,Density (g/cm3),Note,Substrate,Type,Wavelength
"BG-38 (VIS) 25.4mm Dia., VIS 0° Coated, Colored Glass Bandpass Filter",36-308,$50,Schott BG-38 ,25.40 ,,±0.38 ,3.00 ±0.2,,80-50 ,271 ,470 ,VIS 0° (425-675nm) ,Blue-Green ,2.62 ,Can also be used as a shortpass filter with a cut-off wavelength of 645nm ,Colored Glass ,Bandpass Filter ,VIS 
"B-370 (UV-VIS) 12mm Dia., Colored Glass Bandpass Filter",48-630,$28.5,Hoya B-370 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,100 ,370 ,Uncoated ,Blue-Violet ,2.36 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-370 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",48-634,$49,Hoya B-370 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,100 ,370 ,Uncoated ,Blue-Violet ,2.36 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-370 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",48-639,$92.5,Hoya B-370 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,100 ,370 ,Uncoated ,Blue-Violet ,2.36 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-390 (UV-VIS) 12mm Dia., Colored Glass Bandpass Filter ",48-631,$28.5,Hoya B-390 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,125 ,390 ,Uncoated ,Blue-Violet ,2.57 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-390 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",48-635,$49,Hoya B-390 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,125 ,390 ,Uncoated ,Blue-Violet ,2.57 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-390 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",48-640,$92.5,Hoya B-390 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,125 ,390 ,Uncoated ,Blue-Violet ,2.57 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-410 (UV-VIS) 12mm Dia,. Colored Glass Bandpass Filter",34-431,$35.5,Hoya B-410 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,232 ,410 ,Uncoated ,Blue ,2.27 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-410 (UV-VIS) 25mm Square, Colored Glass Bandpass Filter",34-432,$49,Hoya B-410 ,,25.0 x 25.0 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,232 ,410 ,Uncoated ,Blue ,2.27 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-410 (UV-VIS) 25.4mm Dia,. Colored Glass Bandpass Filter",34-433,$49,Hoya B-410 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,232 ,410 ,Uncoated ,Blue ,2.27 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
B-410 (UV-VIS) 50.8mm Square Colored Glass Bandpass Filter,34-434,$92.5,Hoya B-410 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,232 ,410 ,Uncoated ,Blue ,2.27 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-440 (UV-VIS) 12mm Dia., Colored Glass Bandpass Filter",48-632,$28.5,Hoya B-440 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,85 ,440 ,Uncoated ,Blue-Green ,2.70 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-440 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",48-636,$49,Hoya B-440 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,85 ,440 ,Uncoated ,Blue-Green ,2.70 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-440 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",48-641,$92.5,Hoya B-440 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,85 ,440 ,Uncoated ,Blue-Green ,2.70 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-460 (UV-VIS) 12mm Dia., Colored Glass Bandpass Filter",34-443,$35.5,Hoya B-460 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,200 ,460 ,Uncoated ,Blue-Green ,2.60 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-460 (UV-VIS) 25mm Square, Colored Glass Bandpass Filter",34-444,$49,Hoya B-460 ,,25.0 x 25.0 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,200 ,460 ,Uncoated ,Blue-Green ,2.60 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-460 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",34-445,$49,Hoya B-460 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,200 ,460 ,Uncoated ,Blue-Green ,2.60 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"B-460 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",34-446,$92.5,Hoya B-460 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,200 ,460 ,Uncoated ,Blue-Green ,2.60 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"BG-3 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter",48-633,$35.5,Schott BG-3 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,146 ,356 ,Uncoated ,Deep Blue ,2.56 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV-VIS 
"BG-3 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter",48-638,$69.5,Schott BG-3 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,146 ,356 ,Uncoated ,Deep Blue ,2.56 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV-VIS 
"BG-18 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",46-051,$42.5,Schott BG-18 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,160 ,493 ,Uncoated ,Blue-Green ,2.68 ,Can also be used as a shortpass filter with a cut-off wavelength of 595nm ,Colored Glass ,Bandpass Filter ,VIS 
"BG-18 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",46-052,$85,Schott BG-18 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,160 ,493 ,Uncoated ,Blue-Green ,2.68 ,Can also be used as a shortpass filter with a cut-off wavelength of 595nm ,Colored Glass ,Bandpass Filter ,VIS 
"BG-25 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter ",84-901,$35.5,Schott BG-25 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,150 ,400 ,Uncoated ,Blue-Violet ,2.56 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV-VIS 
"BG-25 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter ",84-902,$69.5,Schott BG-25 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,150 ,400 ,Uncoated ,Blue-Violet ,2.56 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV-VIS 
"BG-38 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",46-433,$35.5,Schott BG-38 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,271 ,470 ,Uncoated ,Blue-Green ,2.62 ,Can also be used as a shortpass filter with a cut-off wavelength of 645nm ,Colored Glass ,Bandpass Filter ,VIS 
"BG-38 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",46-434,$69.5,Schott BG-38 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,271 ,470 ,Uncoated ,Blue-Green ,2.62 ,Can also be used as a shortpass filter with a cut-off wavelength of 645nm ,Colored Glass ,Bandpass Filter ,VIS 
"BG-39 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",48-637,$35.5,Schott BG-39 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,210 ,507 ,Uncoated ,Blue-Green ,2.74 ,,Colored Glass ,Bandpass Filter ,VIS 
"BG-39 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",48-642,$69.5,Schott BG-39 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,210 ,507 ,Uncoated ,Blue-Green ,2.74 ,,Colored Glass ,Bandpass Filter ,VIS 
"BG-42 (UV-VIS) 25.4mm Dia., Colored Glass Bandpass Filter ",84-905,$46.5,Schott BG-42 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,260 ,480 ,Uncoated ,Blue-Green ,2.69 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"BG-42 (UV-VIS) 50.8mm Square, Colored Glass Bandpass Filter ",84-906,$87,Schott BG-42 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,260 ,480 ,Uncoated ,Blue-Green ,2.69 ,,Colored Glass ,Bandpass Filter ,UV-VIS 
"G530 (VIS) 12mm Dia., Colored Glass Bandpass Filter",34-435,$35.5,Hoya G530 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,50 ,530 ,Uncoated ,Green ,3.12 ,,Colored Glass ,Bandpass Filter ,VIS 
"G530 (VIS) 25mm Square, Colored Glass Bandpass Filter",34-436,$49,Hoya G530 ,,25.0 x 25.0 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,50 ,530 ,Uncoated ,Green ,3.12 ,,Colored Glass ,Bandpass Filter ,VIS 
"G530 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",34-437,$49,Hoya G530 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,50 ,530 ,Uncoated ,Green ,3.12 ,,Colored Glass ,Bandpass Filter ,VIS 
"G530 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",34-438,$92.5,Hoya G530 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,50 ,530 ,Uncoated ,Green ,3.12 ,,Colored Glass ,Bandpass Filter ,VIS 
"G533 (VIS) 12mm Dia., Colored Glass Bandpass Filter",34-447,$35.5,Hoya G533 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,95 ,533 ,Uncoated ,Green ,2.60 ,,Colored Glass ,Bandpass Filter ,VIS 
"G533 (VIS) 25mm Square, Colored Glass Bandpass Filter",34-448,$49,Hoya G533 ,,25.0 x 25.0 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,95 ,533 ,Uncoated ,Green ,2.60 ,,Colored Glass ,Bandpass Filter ,VIS 
"G533 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",34-449,$49,Hoya G533 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,95 ,533 ,Uncoated ,Green ,2.60 ,,Colored Glass ,Bandpass Filter ,VIS 
"G533 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",34-450,$92.5,Hoya G533 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,95 ,533 ,Uncoated ,Green ,2.60 ,,Colored Glass ,Bandpass Filter ,VIS 
"G545 (VIS) 12mm Dia., Colored Glass Bandpass Filter",34-439,$37.5,Hoya G545 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,47 ,545 ,Uncoated ,Green ,3.10 ,,Colored Glass ,Bandpass Filter ,VIS 
"G545 (VIS) 25mm Square, Colored Glass Bandpass Filter",34-440,$51,Hoya G545 ,,25.0 x 25.0 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,47 ,545 ,Uncoated ,Green ,3.10 ,,Colored Glass ,Bandpass Filter ,VIS 
"G545 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",34-441,$51,Hoya G545 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,47 ,545 ,Uncoated ,Green ,3.10 ,,Colored Glass ,Bandpass Filter ,VIS 
"G545 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",34-442,$119,Hoya G545 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,47 ,545 ,Uncoated ,Green ,3.10 ,,Colored Glass ,Bandpass Filter ,VIS 
"G550 (VIS) 12mm Dia., Colored Glass Bandpass Filter",34-451,$37.5,Hoya G550 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,180 ,550 ,Uncoated ,Green ,2.58 ,,Colored Glass ,Bandpass Filter ,VIS 
"G550 (VIS) 25mm Square, Colored Glass Bandpass Filter",34-452,$49,Hoya G550 ,,25.0 x 25.0 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,180 ,550 ,Uncoated ,Green ,2.58 ,,Colored Glass ,Bandpass Filter ,VIS 
"G550 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",34-453,$49,Hoya G550 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,180 ,550 ,Uncoated ,Green ,2.58 ,,Colored Glass ,Bandpass Filter ,VIS 
"G550 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",34-454,$92.5,Hoya G550 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,180 ,550 ,Uncoated ,Green ,2.58 ,,Colored Glass ,Bandpass Filter ,VIS 
"RG-9 (IR) 50.8mm Square, Colored Glass Bandpass Filter ",84-904,$85,Schott RG-9 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,315 ,883 ,Uncoated ,Black ,2.58 ,,Colored Glass ,Bandpass Filter ,IR 
"RG-9 (IR) 25.4mm Dia., Colored Glass Bandpass Filter ",84-903,$42.5,Schott RG-9 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,315 ,883 ,Uncoated ,Black ,2.58 ,,Colored Glass ,Bandpass Filter ,IR 
"RT-830 (IR) 12mm Dia., Colored Glass Bandpass Filter",46-082,$28.5,Hoya RT-830 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,260 ,830 ,Uncoated ,Black ,2.75 ,,Colored Glass ,Bandpass Filter ,IR 
"RT-830 (IR) 25.4mm Dia., Colored Glass Bandpass Filter",46-443,$49,Hoya RT-830 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,260 ,830 ,Uncoated ,Black ,2.75 ,,Colored Glass ,Bandpass Filter ,IR 
"RT-830 (IR) 25mm Square, Colored Glass Bandpass Filter",46-086,$49,Hoya RT-830 ,,25.0 x 25.0 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,260 ,830 ,Uncoated ,Black ,2.75 ,,Colored Glass ,Bandpass Filter ,IR 
"RT-830 (IR) 50.8mm Square, Colored Glass Bandpass Filter",46-444,$87,Hoya RT-830 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,260 ,830 ,Uncoated ,Black ,2.75 ,,Colored Glass ,Bandpass Filter ,IR 
"U-330 (UV) 12mm Dia., Colored Glass Bandpass Filter",46-095,$31,Hoya U-330 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,140 ,330 ,Uncoated ,Black ,2.78 ,,Colored Glass ,Bandpass Filter ,UV 
"U-330 (UV) 25.4mm Dia., Colored Glass Bandpass Filter",46-437,$63.5,Hoya U-330 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,140 ,330 ,Uncoated ,Black ,2.78 ,,Colored Glass ,Bandpass Filter ,UV 
"U-330 (UV) 25mm Square, Colored Glass Bandpass Filter",46-083,$63.5,Hoya U-330 ,,25.0 x 25.0 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,140 ,330 ,Uncoated ,Black ,2.78 ,,Colored Glass ,Bandpass Filter ,UV 
"U-330 (UV) 50.8mm Square, Colored Glass Bandpass Filter",46-438,$145,Hoya U-330 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,140 ,330 ,Uncoated ,Black ,2.78 ,,Colored Glass ,Bandpass Filter ,UV 
"U-340 (UV) 12mm Dia., Colored Glass Bandpass Filter",46-096,$31,Hoya U-340 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,85 ,340 ,Uncoated ,Black ,2.92 ,,Colored Glass ,Bandpass Filter ,UV 
"U-340 (UV) 25.4mm Dia., Colored Glass Bandpass Filter",46-439,$63.5,Hoya U-340 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,85 ,340 ,Uncoated ,Black ,2.92 ,,Colored Glass ,Bandpass Filter ,UV 
"U-340 (UV) 25mm Square, Colored Glass Bandpass Filter",46-084,$63.5,Hoya U-340 ,,25.0 x 25.0 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,85 ,340 ,Uncoated ,Black ,2.92 ,,Colored Glass ,Bandpass Filter ,UV 
"U-340 (UV) 50.8mm Square, Colored Glass Bandpass Filter",46-440,$145,Hoya U-340 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,85 ,340 ,Uncoated ,Black ,2.92 ,,Colored Glass ,Bandpass Filter ,UV 
"U-360 (UV) 12mm Dia., Colored Glass Bandpass Filter",46-081,$28.5,Hoya U-360 ,12.00 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,45 ,360 ,Uncoated ,Black ,2.74 ,,Colored Glass ,Bandpass Filter ,UV 
"U-340 (UV) 25.4mm Dia., VIS 0° Coated, Colored Glass Bandpass Filter",36-307,$75,Hoya U-340 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,85 ,340 ,VIS 0° (425-675nm) ,Black ,2.92 ,,Colored Glass ,Bandpass Filter ,UV 
"U-360 (UV) 25.4mm Dia., Colored Glass Bandpass Filter",46-441,$49,Hoya U-360 ,25.40 ,,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,45 ,360 ,Uncoated ,Black ,2.74 ,,Colored Glass ,Bandpass Filter ,UV 
"U-360 (UV) 25mm Square, Colored Glass Bandpass Filter",46-085,$49,Hoya U-360 ,,25.0 x 25.0 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,45 ,360 ,Uncoated ,Black ,2.74 ,,Colored Glass ,Bandpass Filter ,UV 
"U-360 (UV) 50.8mm Square, Colored Glass Bandpass Filter",46-442,$92.5,Hoya U-360 ,,50.8 x 50.8 ,+0/-0.25 ,2.50 ,±0.2 ,80-50 ,45 ,360 ,Uncoated ,Black ,2.74 ,,Colored Glass ,Bandpass Filter ,UV 
"UG-1 (UV) 25.4mm Dia., Colored Glass Bandpass Filter",46-047,$35.5,Schott UG-1 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,53 ,355 ,Uncoated ,Black ,2.77 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV 
"UG-1 (UV) 50.8mm Square, Colored Glass Bandpass Filter",46-048,$69.5,Schott UG-1 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,53 ,355 ,Uncoated ,Black ,2.77 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV 
"UG-5 (UV) 25.4mm Dia., Colored Glass Bandpass Filter ",84-897,$85,Schott UG-5 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,175 ,318 ,Uncoated ,Black ,2.85 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV 
"UG-5 (UV) 50.8mm Square, Colored Glass Bandpass Filter ",84-898,$205,Schott UG-5 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,175 ,318 ,Uncoated ,Black ,2.85 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV 
"UG-11 (UV) 25.4mm Dia., Colored Glass Bandpass Filter ",84-899,$85,Schott UG-11 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,110 ,325 ,Uncoated ,Black ,2.92 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV 
"UG-11 (UV) 50.8mm Square, Colored Glass Bandpass Filter ",84-900,$205,Schott UG-11 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,110 ,325 ,Uncoated ,Black ,2.92 ,Intense UV radiation can cause a reduction in transmission ,Colored Glass ,Bandpass Filter ,UV 
"VG-9 (VIS) 50.8mm Square, Colored Glass Bandpass Filter",46-054,$69.5,Schott VG-9 ,,50.8 x 50.8 ,±0.38 ,3.00 ,±0.2 ,80-50 ,120 ,526 ,Uncoated ,Green ,2.87 ,,Colored Glass ,Bandpass Filter ,VIS 
"VG-9 (VIS) 25.4mm Dia., Colored Glass Bandpass Filter",46-053,$35.5,Schott VG-9 ,25.40 ,,±0.38 ,3.00 ,±0.2 ,80-50 ,120 ,526 ,Uncoated ,Green ,2.87 ,,Colored Glass ,Bandpass Filter ,VIS 
