Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Coating,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Thickness Tolerance (mm),Type,Typical Applications
"375nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",86-732,$130,12.50 +0.0/-0.1,375 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,True Blue Chloride 
"375nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",86-736,$205,25.00 +0.0/-0.1,375 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,True Blue Chloride 
"375nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",86-740,$495,50.00 +0.0/-0.1,375 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,True Blue Chloride 
"394nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-070,$130,12.50 +0.0/-0.1,394 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,mBBr+GSH Absorption 
"394nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-131,$205,25.00 +0.0/-0.1,394 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,mBBr+GSH Absorption 
"394nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-192,$495,50.00 +0.0/-0.1,394 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,mBBr+GSH Absorption 
"400nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-071,$130,12.50 +0.0/-0.1,400 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"7-Dimethylamino-4-Methylcoumarin-3-Isothiocyanate, CellTrace calcein violet, Pacific Blue, Pacific Orange "
"400nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-132,$205,25.00 +0.0/-0.1,400 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"7-Dimethylamino-4-Methylcoumarin-3-Isothiocyanate, CellTrace calcein violet, Pacific Blue, Pacific Orange "
"400nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-193,$495,50.00 +0.0/-0.1,400 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"7-Dimethylamino-4-Methylcoumarin-3-Isothiocyanate, CellTrace calcein violet, Pacific Blue, Pacific Orange "
"405nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-072,$130,12.50 +0.0/-0.1,405 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Brilliant Violet 510, SpectrumBlue "
"405nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-133,$205,25.00 +0.0/-0.1,405 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Brilliant Violet 510, SpectrumBlue "
"405nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-194,$495,50.00 +0.0/-0.1,405 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Brilliant Violet 510, SpectrumBlue "
"413nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-493,$130,12.50 +0.0/-0.1,413 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"413nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-494,$205,25.00 +0.0/-0.1,413 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"413nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-495,$495,50.00 +0.0/-0.1,413 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"420nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-075,$130,12.50 +0.0/-0.1,420 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Glacial Blue, Plum Purple, 7-Diethylaminocoumarin-3-Carboxylic Acid Hydrazide "
"420nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-136,$205,25.00 +0.0/-0.1,420 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Glacial Blue, Plum Purple, 7-Diethylaminocoumarin-3-Carboxylic Acid Hydrazide "
"420nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-197,$495,50.00 +0.0/-0.1,420 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Glacial Blue, Plum Purple, 7-Diethylaminocoumarin-3-Carboxylic Acid Hydrazide "
"422nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-496,$130,12.50 +0.0/-0.1,422 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"422nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-497,$205,25.00 +0.0/-0.1,422 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"422nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-498,$495,50.00 +0.0/-0.1,422 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"430nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-076,$130,12.50 +0.0/-0.1,430 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Alexa Fluor® 430 Carboxylic Succinimidyl Ester, Aqua 431 "
"430nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter ",65-137,$205,25.00 +0.0/-0.1,430 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Alexa Fluor® 430 Carboxylic Succinimidyl Ester, Aqua 432 "
"430nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-198,$495,50.00 +0.0/-0.1,430 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Alexa Fluor® 430 Carboxylic Succinimidyl Ester, Aqua 433 "
"436nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter ",65-077,$130,12.50 +0.0/-0.1,436 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"7-Diethylaminocoumarin-3-Carbonyl Azide, ATTO 425 "
"436nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-138,$205,25.00 +0.0/-0.1,436 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"7-Diethylaminocoumarin-3-Carbonyl Azide, ATTO 425 "
"436nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-199,$495,50.00 +0.0/-0.1,436 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"7-Diethylaminocoumarin-3-Carbonyl Azide, ATTO 425 "
"440nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",88-567,$130,12.50 +0.0/-0.1,440 ,±2.0 ,10 ,±2.0 ,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"BV480 - BD Horizon Brilliant Violet 480, BFP "
"440nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",88-570,$205,25.00 +0.0/-0.1,440 ,±2.0 ,10 ,±2.0 ,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"BV480 - BD Horizon Brilliant Violet 480, BFP "
"440nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",88-573,$495,50.00 +0.0/-0.1,440 ,±2.0 ,10 ,±2.0 ,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"BV480 - BD Horizon Brilliant Violet 480, BFP "
"442nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-078,$130,12.50 +0.0/-0.1,442 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"7-Diethylaminocoumarin-3-Carboxylic Acid Succinimidyl, Lysosensor Green DND 153 "
"442nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-139,$205,25.00 +0.0/-0.1,442 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"7-Diethylaminocoumarin-3-Carboxylic Acid Succinimidyl, Lysosensor Green DND 154 "
"442nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-200,$495,50.00 +0.0/-0.1,442 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"7-Diethylaminocoumarin-3-Carboxylic Acid Succinimidyl, Lysosensor Green DND 155 "
"445nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-499,$130,12.50 +0.0/-0.1,445 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"445nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-500,$205,25.00 +0.0/-0.1,445 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"445nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-501,$495,50.00 +0.0/-0.1,445 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"450nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-079,$130,12.50 +0.0/-0.1,450 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Starlight Glacial Blue 
"450nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-140,$205,25.00 +0.0/-0.1,450 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Starlight Glacial Blue 
"450nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-201,$495,50.00 +0.0/-0.1,450 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Starlight Glacial Blue 
"455nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-080,$130,12.50 +0.0/-0.1,455 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Po-Pro 1, 7-Hydroxy-4-MethylCoumarin-3-Acetic Acid "
"455nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-141,$205,25.00 +0.0/-0.1,455 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Po-Pro 1, 7-Hydroxy-4-MethylCoumarin-3-Acetic Acid "
"455nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-202,$495,50.00 +0.0/-0.1,455 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Po-Pro 1, 7-Hydroxy-4-MethylCoumarin-3-Acetic Acid "
"458nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-081,$130,12.50 +0.0/-0.1,458 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"AmCyan1, TagCFP "
"458nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-142,$205,25.00 +0.0/-0.1,458 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"AmCyan1, TagCFP "
"458nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-203,$495,50.00 +0.0/-0.1,458 ,±2.0 ,10 ,±2.0 ,?85  ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"AmCyan1, TagCFP "
"460nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",87-886,$130,12.50 +0.0/-0.1,460 ,±2.0 ,10 ,±2.0 ,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Styryl Absorption, Heterocycle/Benzimidazole Emission "
"460nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",88-010,$205,25.00 +0.0/-0.1,460 ,±2.0 ,10 ,±2.0 ,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Styryl Absorption, Heterocycle/Benzimidazole Emission "
"460nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",88-016,$495,50.00 +0.0/-0.1,460 ,±2.0 ,10 ,±2.0 ,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,"Styryl Absorption, Heterocycle/Benzimidazole Emission "
"467nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-308,$130,12.50 +0.0/-0.1,467 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Xe Emission 
"467nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-315,$205,25.00 +0.0/-0.1,467 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Xe Emission 
"467nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",39-322,$495,50.00 +0.0/-0.1,467 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Xe Emission 
"470nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-083,$130,12.50 +0.0/-0.1,470 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Acridine Yellow 
"470nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-144,$205,25.00 +0.0/-0.1,470 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Acridine Yellow 
"470nm CWL, 50mm Dia., Hard Coated OD 4 10nm Bandpass Filter",65-205,$495,50.00 +0.0/-0.1,470 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,Acridine Yellow 
"473nm CWL, 12.5mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-502,$130,12.50 +0.0/-0.1,473 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
"473nm CWL, 25mm Dia., Hard Coated OD 4 10nm Bandpass Filter",34-503,$205,25.00 +0.0/-0.1,473 ,±2.0 ,10 ,±2.0 ,?85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 typical ,±0.1 ,Bandpass Filter ,
