Title,Stock Number,Price,Dimensions (mm),Dimensional Tolerance (mm),Cut-On Wavelength (nm),Reflection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),AOI (°),Coating,Substrate,Reflection (%),Surface Quality,Transmission (%),Type,"Transmitted Wavefront, RMS",Surface Flatness (P-V)
"409nm, 12.5 x 17.6mm High Performance Fluorescence Dichroic Filter",34-724,$250,12.5 x 17.6 ,+0.0/-0.10 ,409.00 ,325 - 404 ,415 - 850 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"409nm, 25.2 x 35.6mm High Performance Fluorescence Dichroic Filter",34-725,$425,25.2 x 35.6 ,+0.0/-0.10 ,409.00 ,325 - 404 ,415 - 850 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"435nm, 12.5 x 17.6mm High Performance Fluorescence Dichroic Filter",34-726,$250,12.5 x 17.6 ,+0.0/-0.10 ,435.00 ,325 - 425 ,444 - 850 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"435nm, 25.2 x 35.6mm High Performance Fluorescence Dichroic Filter",34-727,$425,25.2 x 35.6 ,+0.0/-0.10 ,435.00 ,325 - 425 ,444 - 850 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"450nm, 12.5 x 17.6mm High Performance Fluorescence Dichroic Filter",34-728,$250,12.5 x 17.6 ,+0.0/-0.10 ,450.00 ,350 - 430 ,457 - 850 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"450nm, 25.2 x 35.6mm High Performance Fluorescence Dichroic Filter",34-729,$425,25.2 x 35.6 ,+0.0/-0.10 ,450.00 ,350 - 430 ,457 - 850 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"482nm, 12.5 x 17.6mm High Performance Fluorescence Dichroic Filter",34-730,$250,12.5 x 17.6 ,+0.0/-0.10 ,482.00 ,350 - 470 ,490 - 850 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"482nm, 25.2 x 35.6mm High Performance Fluorescence Dichroic Filter",34-731,$425,25.2 x 35.6 ,+0.0/-0.10 ,482.00 ,350 - 470 ,490 - 850 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"495nm, 12.5 x 17.6mm High Performance Fluorescence Dichroic Filter",34-732,$250,12.5 x 17.6 ,+0.0/-0.10 ,495.00 ,435 - 488 ,502 - 730 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"495nm, 25.2 x 35.6mm High Performance Fluorescence Dichroic Filter",34-733,$425,25.2 x 35.6 ,+0.0/-0.10 ,495.00 ,435 - 488 ,502 - 730 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"506nm, 12.5 x 17.6mm High Performance Fluorescence Dichroic Filter",34-734,$250,12.5 x 17.6 ,+0.0/-0.10 ,506.00 ,440 - 500 ,513 - 730 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"506nm, 25.2 x 35.6mm High Performance Fluorescence Dichroic Filter",34-735,$425,25.2 x 35.6 ,+0.0/-0.10 ,506.00 ,440 - 500 ,513 - 730 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"552nm, 12.5 x 17.6mm High Performance Fluorescence Dichroic Filter",34-736,$250,12.5 x 17.6 ,+0.0/-0.10 ,552.00 ,350 - 544 ,558 - 850 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"552nm, 25.2 x 35.6mm High Performance Fluorescence Dichroic Filter",34-737,$425,25.2 x 35.6 ,+0.0/-0.10 ,552.00 ,350 - 544 ,558 - 850 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"600nm, 12.5 x 17.6mm High Performance Fluorescence Dichroic Filter",34-738,$250,12.5 x 17.6 ,+0.0/-0.10 ,600.00 ,460 - 570 ,607 - 900 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"600nm, 25.2 x 35.6mm High Performance Fluorescence Dichroic Filter",34-739,$425,25.2 x 35.6 ,+0.0/-0.10 ,600.00 ,460 - 570 ,607 - 900 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"605nm, 12.5 x 17.6mm High Performance Fluorescence Dichroic Filter",34-740,$250,12.5 x 17.6 ,+0.0/-0.10 ,605.00 ,350 - 596 ,612 - 950 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"605nm, 25.2 x 35.6mm High Performance Fluorescence Dichroic Filter",34-741,$425,25.2 x 35.6 ,+0.0/-0.10 ,605.00 ,350 - 596 ,612 - 950 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"660nm, 12.5 x 17.6mm High Performance Fluorescence Dichroic Filter",34-742,$250,12.5 x 17.6 ,+0.0/-0.10 ,660.00 ,580 - 651 ,670 - 800 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"660nm, 25.2 x 35.6mm High Performance Fluorescence Dichroic Filter",34-743,$425,25.2 x 35.6 ,+0.0/-0.10 ,660.00 ,580 - 651 ,670 - 800 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"750nm, 12.5 x 17.6mm High Performance Fluorescence Dichroic Filter",34-744,$250,12.5 x 17.6 ,+0.0/-0.10 ,750.00 ,565 - 715 ,757 - 900 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"750nm, 25.2 x 35.6mm High Performance Fluorescence Dichroic Filter",34-745,$425,25.2 x 35.6 ,+0.0/-0.10 ,750.00 ,565 - 715 ,757 - 950 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"800nm, 12.5 x 17.6mm High Performance Fluorescence Dichroic Filter",34-746,$250,12.5 x 17.6 ,+0.0/-0.10 ,800.00 ,600 - 760 ,807 - 1000 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"800nm, 25.2 x 35.6mm High Performance Fluorescence Dichroic Filter",34-747,$425,25.2 x 35.6 ,+0.0/-0.10 ,800.00 ,600 - 760 ,807 - 1000 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"850nm, 12.5 x 17.6mm High Performance Fluorescence Dichroic Filter",34-748,$250,12.5 x 17.6 ,+0.0/-0.10 ,850.00 ,635 - 805 ,857 - 1050 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
"850nm, 25.2 x 35.6mm High Performance Fluorescence Dichroic Filter",34-749,$425,25.2 x 35.6 ,+0.0/-0.10 ,850.00 ,635 - 805 ,857 - 1050 ,1.05 ,±0.05 ,45 ,Hard Coated ,UV Grade Fused Silica ,Ravg >98% ,40-20 ,Tavg >90% ,Dichroic Filter ,?/10 ,?/2 
