Title,Stock Number,Price,Dia. (mm),Cut-On Wavelength (nm),Rejection Wavelength (nm),Transmission Wavelength (nm),Thickness (mm),Thickness Tolerance (mm),Wavelength Range (nm),AOI (°),Coating,Substrate,Optical Density OD,Surface Quality,Transmission (%),Type,CA (%),"Transmitted Wavefront, P-V",Cut-On Tolerance (%),Slope Factor (%),Coating Specification
"400nm 12.5mm Diameter, OD 2 Longpass Filter",49-024,$89,12.50 +0.00/-0.20,400 ,200 - 375 ,420 - 2000 ,1.50 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"400nm 25.0mm Diameter, OD 2 Longpass Filter",47-614,$125,25.00 +0.00/-0.20,400 ,200 - 375 ,420 - 2000 ,3.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"400nm 50mm Diameter, OD 2 Longpass Filter",64-697,$195,50.00 +0.00/-0.20,400 ,200 - 375 ,420 - 2000 ,5.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"425nm 12.5mm Diameter, OD 2 Longpass Filter",64-616,$89,12.50 +0.00/-0.20,425 ,200 - 405 ,445 - 2000 ,1.50 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"425nm 25mm Diameter, OD 2 Longpass Filter",64-624,$125,25.00 +0.00/-0.20,425 ,200 - 405 ,445 - 2000 ,3.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"425nm 50mm Diameter, OD 2 Longpass Filter",64-632,$195,50.00 +0.00/-0.20,425 ,200 - 405 ,445 - 2000 ,5.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"450nm 12.5mm Diameter, OD 2 Longpass Filter",49-025,$89,12.50 +0.00/-0.20,450 ,200 - 430 ,470 - 2000 ,1.50 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"450nm 25.0mm Diameter, OD 2 Longpass Filter",47-615,$125,25.00 +0.00/-0.20,450 ,200 - 430 ,470 - 2000 ,3.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"450nm 50mm Diameter, OD 2 Longpass Filter",64-698,$195,50.00 +0.00/-0.20,450 ,200 - 430 ,470 - 2000 ,5.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"475nm 12.5mm Diameter, OD 2 Longpass Filter",64-617,$89,12.50 +0.00/-0.20,475 ,200 - 455 ,495 - 2000 ,1.50 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"475nm 25mm Diameter, OD 2 Longpass Filter",64-625,$125,25.00 +0.00/-0.20,475 ,200 - 455 ,495 - 2000 ,3.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"475nm 50mm Diameter, OD 2 Longpass Filter",64-633,$195,50.00 +0.00/-0.20,475 ,200 - 455 ,495 - 2000 ,5.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"500nm 12.5mm Diameter, OD 2 Longpass Filter",49-026,$89,12.50 +0.00/-0.20,500 ,200 - 480 ,520 - 2000 ,1.50 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"500nm 25.0mm Diameter, OD 2 Longpass Filter",47-616,$125,25.00 +0.00/-0.20,500 ,200 - 480 ,520 - 2000 ,3.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"500nm 50mm Diameter, OD 2 Longpass Filter",64-699,$195,50.00 +0.00/-0.20,500 ,200 - 480 ,520 - 2000 ,5.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"525nm 12.5mm Diameter, OD 2 Longpass Filter",64-618,$89,12.50 +0.00/-0.20,525 ,200 - 505 ,545 - 2000 ,1.50 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"525nm 25mm Diameter, OD 2 Longpass Filter",64-626,$125,25.00 +0.00/-0.20,525 ,200 - 505 ,545 - 2000 ,3.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"525nm 50mm Diameter, OD 2 Longpass Filter",64-634,$195,50.00 +0.00/-0.20,525 ,200 - 505 ,545 - 2000 ,5.00 ,±0.1 ,200 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"550nm 12.5mm Diameter, OD 2 Longpass Filter",49-027,$89,12.50 +0.00/-0.20,550 ,415 - 515 ,575 - 2000 ,1.50 ,±0.1 ,415 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"550nm 25.0mm Diameter, OD 2 Longpass Filter",47-617,$125,25.00 +0.00/-0.20,550 ,415 - 515 ,575 - 2000 ,3.00 ,±0.1 ,415 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"550nm 50mm Diameter, OD 2 Longpass Filter",64-700,$195,50.00 +0.00/-0.20,550 ,415 - 515 ,575 - 2000 ,5.00 ,±0.1 ,415 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"575nm 12.5mm Diameter, OD 2 Longpass Filter",64-619,$89,12.50 +0.00/-0.20,575 ,440 - 540 ,600 - 2000 ,1.50 ,±0.1 ,440 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"575nm 25mm Diameter, OD 2 Longpass Filter",64-627,$125,25.00 +0.00/-0.20,575 ,440 - 540 ,600 - 2000 ,3.00 ,±0.1 ,440 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"575nm 50mm Diameter, OD 2 Longpass Filter",64-635,$195,50.00 +0.00/-0.20,575 ,440 - 540 ,600 - 2000 ,5.00 ,±0.1 ,440 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"600nm 12.5mm Diameter, OD 2 Longpass Filter",49-028,$89,12.50 +0.00/-0.20,600 ,460 - 570 ,625 - 2000 ,1.50 ,±0.1 ,460 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"600nm 25.0mm Diameter, OD 2 Longpass Filter",47-618,$125,25.00 +0.00/-0.20,600 ,460 - 570 ,625 - 2000 ,3.00 ,±0.1 ,460 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"600nm 50mm Diameter, OD 2 Longpass Filter",64-701,$195,50.00 +0.00/-0.20,600 ,460 - 570 ,625 - 2000 ,5.00 ,±0.1 ,460 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"625nm 12.5mm Diameter, OD 2 Longpass Filter",64-620,$89,12.50 +0.00/-0.20,625 ,485 - 595 ,650 - 2000 ,1.50 ,±0.1 ,485 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"625nm 25mm Diameter, OD 2 Longpass Filter",64-628,$125,25.00 +0.00/-0.20,625 ,485 - 595 ,650 - 2000 ,3.00 ,±0.1 ,485 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"625nm 50mm Diameter, OD 2 Longpass Filter",64-636,$195,50.00 +0.00/-0.20,625 ,485 - 595 ,650 - 2000 ,5.00 ,±0.1 ,485 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"650nm 12.5mm Diameter, OD 2 Longpass Filter",49-029,$89,12.50 +0.00/-0.20,650 ,495 - 610 ,675 - 2000 ,1.50 ,±0.1 ,495 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"650nm 25.0mm Diameter, OD 2 Longpass Filter",47-619,$125,25.00 +0.00/-0.20,650 ,495 - 610 ,675 - 2000 ,3.00 ,±0.1 ,495 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"650nm 50mm Diameter, OD 2 Longpass Filter",64-702,$195,50.00 +0.00/-0.20,650 ,495 - 610 ,675 - 2000 ,5.00 ,±0.1 ,495 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"675nm 12.5mm Diameter, OD 2 Longpass Filter",64-621,$89,12.50 +0.00/-0.20,675 ,520 - 635 ,700 - 2000 ,1.50 ,±0.1 ,520 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"675nm 25mm Diameter, OD 2 Longpass Filter",64-629,$125,25.00 +0.00/-0.20,675 ,520 - 635 ,700 - 2000 ,3.00 ,±0.1 ,520 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"675nm 50mm Diameter, OD 2 Longpass Filter",64-637,$195,50.00 +0.00/-0.20,675 ,520 - 635 ,700 - 2000 ,5.00 ,±0.1 ,520 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"700nm 12.5mm Diameter, OD 2 Longpass Filter",49-030,$89,12.50 +0.00/-0.20,700 ,535 - 660 ,725 - 2000 ,1.50 ,±0.1 ,535 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"700nm 25.0mm Diameter, OD 2 Longpass Filter",47-620,$125,25.00 +0.00/-0.20,700 ,535 - 660 ,775 - 2000 ,3.00 ,±0.1 ,535 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"700nm 50mm Diameter, OD 2 Longpass Filter",64-703,$195,50.00 +0.00/-0.20,700 ,535 - 660 ,725 - 2000 ,5.00 ,±0.1 ,535 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"725nm 12.5mm Diameter, OD 2 Longpass Filter",64-622,$89,12.50 +0.00/-0.20,725 ,560 - 685 ,750 - 2000 ,1.50 ,±0.1 ,560 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"725nm 25mm Diameter, OD 2 Longpass Filter",64-630,$125,25.00 +0.00/-0.20,725 ,560 - 685 ,750 - 2000 ,3.00 ,±0.1 ,560 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"725nm 50mm Diameter, OD 2 Longpass Filter",64-638,$195,50.00 +0.00/-0.20,725 ,560 - 685 ,750 - 2000 ,5.00 ,±0.1 ,560 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"750nm 12.5mm Diameter, OD 2 Longpass Filter",49-031,$89,12.50 +0.00/-0.20,750 ,565 - 715 ,780 - 2000 ,1.50 ,±0.1 ,565 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"750nm 25.0mm Diameter, OD 2 Longpass Filter",48-558,$125,25.00 +0.00/-0.20,750 ,565 - 715 ,780 - 2000 ,3.00 ,±0.1 ,565 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"750nm 50mm Diameter, OD 2 Longpass Filter",64-704,$195,50.00 +0.00/-0.20,750 ,565 - 715 ,780 - 2000 ,5.00 ,±0.1 ,565 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"775nm 12.5mm Diameter, OD 2 Longpass Filter",64-623,$89,12.50 +0.00/-0.20,775 ,590 - 740 ,805 - 2000 ,1.50 ,±0.1 ,590 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"775nm 25mm Diameter, OD 2 Longpass Filter",64-631,$125,25.00 +0.00/-0.20,775 ,590 - 740 ,805 - 2000 ,3.00 ,±0.1 ,590 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"775nm 50mm Diameter, OD 2 Longpass Filter",64-639,$195,50.00 +0.00/-0.20,775 ,590 - 740 ,805 - 2000 ,5.00 ,±0.1 ,590 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"800nm 12.5mm Diameter, OD 2 Longpass Filter",49-032,$89,12.50 +0.00/-0.20,800 ,600 - 760 ,830 - 2000 ,1.50 ,±0.1 ,600 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"800nm 25.0mm Diameter, OD 2 Longpass Filter",48-559,$125,25.00 +0.00/-0.20,800 ,600 - 760 ,830 - 2000 ,3.00 ,±0.1 ,600 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"800nm 50mm Diameter, OD 2 Longpass Filter",64-705,$195,50.00 +0.00/-0.20,800 ,600 - 760 ,830 - 2000 ,5.00 ,±0.1 ,600 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"825nm 12.5mm Diameter, OD 2 Longpass Filter",64-676,$89,12.50 +0.00/-0.20,825 ,625 - 785 ,855 - 2000 ,1.50 ,±0.1 ,625 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"825nm 25mm Diameter, OD 2 Longpass Filter",64-683,$125,25.00 +0.00/-0.20,825 ,625 - 785 ,855 - 2000 ,3.00 ,±0.1 ,625 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"825nm 50mm Diameter, OD 2 Longpass Filter",64-690,$195,50.00 +0.00/-0.20,825 ,625 - 785 ,855 - 2000 ,5.00 ,±0.1 ,625 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"850nm 12.5mm Diameter, OD 2 Longpass Filter",49-033,$89,12.50 +0.00/-0.20,850 ,635 - 805 ,880 - 2000 ,1.50 ,±0.1 ,635 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"850nm 25.0mm Diameter, OD 2 Longpass Filter",48-560,$125,25.00 +0.00/-0.20,850 ,635 - 805 ,880 - 2000 ,3.00 ,±0.1 ,635 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"850nm 50mm Diameter, OD 2 Longpass Filter",64-706,$195,50.00 +0.00/-0.20,850 ,635 - 805 ,880 - 2000 ,5.00 ,±0.1 ,635 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"875nm 12.5mm Diameter, OD 2 Longpass Filter",64-677,$89,12.50 +0.00/-0.20,875 ,660 - 830 ,910 - 2000 ,1.50 ,±0.1 ,660 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"875nm 25mm Diameter, OD 2 Longpass Filter",64-684,$125,25.00 +0.00/-0.20,875 ,660 - 830 ,910 - 2000 ,3.00 ,±0.1 ,660 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"875nm 50mm Diameter, OD 2 Longpass Filter",64-691,$195,50.00 +0.00/-0.20,875 ,660 - 830 ,910 - 2000 ,5.00 ,±0.1 ,660 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
"900nm 12.5mm Diameter, OD 2 Longpass Filter",49-034,$89,12.50 +0.00/-0.20,900 ,675 - 855 ,935 - 2000 ,1.50 ,±0.1 ,675 - 2000 ,0 ,Traditional Coated ,UV Grade Fused Silica ,?2.0 ,40-20 ,>85 ,Longpass Filter ,80 ,?/4 ,±2 ,3.00 ,Surface 1: Multi-Layer Dielectric Surface 2: MgF2 
