Title,Stock Number,Price,Dia. (mm),CWL (nm),FWHM (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Optical Density OD,CA (mm),Surface Quality,Coating,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Type,Typical Applications
"266nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-327,$175,12.50 +0.0/-0.1,266 ±1.0,5 ±1.0,>55 ,200 - 650 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Fused Silica ,2.0 ±0.5 typical,Bandpass Filter ,4th Harmonic Nd:YAG Laser 
"266nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-338,$275,25.00 +0.0/-0.1,266 ±1.0,5 ±1.0,>55 ,200 - 650 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Fused Silica ,2.0 ±0.5 typical,Bandpass Filter ,4th Harmonic Nd:YAG Laser 
"266nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-373,$795,50.00 +0.0/-0.1,266 ±1.0,5 ±1.0,>55 ,200 - 650 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Fused Silica ,2.0 ±0.5 typical,Bandpass Filter ,4th Harmonic Nd:YAG Laser 
"343nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-328,$175,12.50 +0.0/-0.1,343 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,3rd Harmonic Nd:YLF Laser 
"343nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-343,$275,25.00 +0.0/-0.1,343 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,3rd Harmonic Nd:YLF Laser 
"343nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-374,$795,50.00 +0.0/-0.1,343 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,3rd Harmonic Nd:YLF Laser 
"355nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-329,$175,12.50 +0.0/-0.1,355 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,3rd Harmonic Nd:YAG Laser 
"355nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-344,$275,25.00 +0.0/-0.1,355 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,3rd Harmonic Nd:YAG Laser 
"355nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-375,$795,50.00 +0.0/-0.1,355 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,3rd Harmonic Nd:YAG Laser 
"405nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-330,$175,12.50 +0.0/-0.1,405 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"405nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-348,$275,25.00 +0.0/-0.1,405 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"405nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-376,$795,50.00 +0.0/-0.1,405 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"515nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-331,$175,12.50 +0.0/-0.1,515 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,2nd Harmonic Nd:YLF Laser 
"515nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-349,$275,25.00 +0.0/-0.1,515 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,2nd Harmonic Nd:YLF Laser 
"515nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-377,$795,50.00 +0.0/-0.1,515 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,2nd Harmonic Nd:YLF Laser 
"532nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-332,$175,12.50 +0.0/-0.1,532 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,2nd Harmonic Nd:YAG Laser 
"532nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-356,$275,25.00 +0.0/-0.1,532 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,2nd Harmonic Nd:YAG Laser 
"532nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-378,$795,50.00 +0.0/-0.1,532 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,2nd Harmonic Nd:YAG Laser 
"633nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-333,$175,12.50 +0.0/-0.1,633 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,HeNe Laser 
"633nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-359,$275,25.00 +0.0/-0.1,633 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,HeNe Laser 
"633nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-379,$795,50.00 +0.0/-0.1,633 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,HeNe Laser 
"785nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-334,$175,12.50 +0.0/-0.1,785 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"785nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-360,$275,25.00 +0.0/-0.1,785 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"785nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-380,$795,50.00 +0.0/-0.1,785 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"808nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-336,$175,12.50 +0.0/-0.1,808 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"808nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-363,$275,25.00 +0.0/-0.1,808 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"808nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-381,$795,50.00 +0.0/-0.1,808 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Diode Laser 
"1064nm CWL, 12.5mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-337,$175,12.50 +0.0/-0.1,1064 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,8.8 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Nd:YLF Laser 
"1064nm CWL, 25mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-364,$275,25.00 +0.0/-0.1,1064 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Nd:YLF Laser 
"1064nm CWL, 50mm Dia., Hard Coated OD 4.0 5nm Bandpass Filter",39-382,$795,50.00 +0.0/-0.1,1064 ±1.0,5 ±1.0,>85 ,200 - 1200 ,?4.0 ,45.3 ,80-50 ,Hard Coated ,5.0 ±0.1,Optical Glass ,3.5 ±0.5 typical,Bandpass Filter ,Nd:YLF Laser 
