Title,Stock Number,Price,CA (mm),Coating,Dia. (mm),Filter Thread,Substrate,Optical Density OD,Transmission (%),Type,Blocking Wavelength Range (nm),Stock No. of Unmounted Filter,Mount Thickness (mm)
"400-700nm OD 0.1, M25.5 x 0.5 Absorptive ND Filter",66-699,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,0.1 ,79.00 ,Neutral Density Filter ,400 - 700 ,#63-460 ,9.9 
"400-700nm OD 0.15, M25.5 x 0.5 Absorptive ND Filter",66-700,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,0.15 ,70.00 ,Neutral Density Filter ,400 - 700 ,#46-211 ,9.9 
"400-700nm OD 0.2, M25.5 x 0.5 Absorptive ND Filter",66-701,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,0.2 ,63.00 ,Neutral Density Filter ,400 - 700 ,#63-461 ,9.9 
"400-700nm OD 0.3, M25.5 x 0.5 Absorptive ND Filter",66-702,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,0.3 ,50.00 ,Neutral Density Filter ,400 - 700 ,#46-212 ,9.9 
"400-700nm OD 0.4, M25.5 x 0.5 Absorptive ND Filter",66-703,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,0.4 ,40.00 ,Neutral Density Filter ,400 - 700 ,#46-213 ,9.9 
"400-700nm OD 0.5, M25.5 x 0.5 Absorptive ND Filter",66-704,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,0.5 ,32.00 ,Neutral Density Filter ,400 - 700 ,#48-089 ,9.9 
"400-700nm OD 0.6, M25.5 x 0.5 Absorptive ND Filter",66-705,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,0.6 ,25.00 ,Neutral Density Filter ,400 - 700 ,#46-214 ,9.9 
"400-700nm OD 0.7, M25.5 x 0.5 Absorptive ND Filter",66-706,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,0.7 ,20.00 ,Neutral Density Filter ,400 - 700 ,#63-462 ,9.9 
"400-700nm OD 0.9, M25.5 x 0.5 Absorptive ND Filter",66-707,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,0.9 ,12.50 ,Neutral Density Filter ,400 - 700 ,#46-215 ,9.9 
"400-700nm OD 1.0, M25.5 x 0.5 Absorptive ND Filter",66-708,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,1.0 ,10.00 ,Neutral Density Filter ,400 - 700 ,#48-090 ,9.9 
"400-700nm OD 1.3, M25.5 x 0.5 Absorptive ND Filter",66-709,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,1.3 ,5.00 ,Neutral Density Filter ,400 - 700 ,#63-463 ,9.9 
"400-700nm OD 1.5, M25.5 x 0.5 Absorptive ND Filter",66-710,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,1.5 ,3.20 ,Neutral Density Filter ,400 - 700 ,#48-091 ,9.9 
"400-700nm OD 2.0, M25.5 x 0.5 Absorptive ND Filter",66-711,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,2.0 ,1.00 ,Neutral Density Filter ,400 - 700 ,#48-092 ,9.9 
"400-700nm OD 2.5, M25.5 x 0.5 Absorptive ND Filter",66-712,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,2.5 ,0.30 ,Neutral Density Filter ,400 - 700 ,#46-216 ,9.9 
"400-700nm OD 3.0, M25.5 x 0.5 Absorptive ND Filter",66-713,$59,22.0 ,Uncoated ,28.00 ,M25.5 x 0.5 ,ND Filter Glass ,3.0 ,0.10 ,Neutral Density Filter ,400 - 700 ,#48-093 ,9.9 
"400-700nm OD 0.1, M30.5 x 0.5 Absorptive ND Filter",66-714,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,0.1 ,79.00 ,Neutral Density Filter ,400 - 700 ,#63-460 ,9.2 
"400-700nm OD 0.15, M30.5 x 0.5 Absorptive ND Filter",66-715,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,0.15 ,70.00 ,Neutral Density Filter ,400 - 700 ,#46-211 ,9.2 
"400-700nm OD 0.2, M30.5 x 0.5 Absorptive ND Filter",66-716,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,0.2 ,63.00 ,Neutral Density Filter ,400 - 700 ,#63-461 ,9.2 
"400-700nm OD 0.3, M30.5 x 0.5 Absorptive ND Filter",66-717,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,0.3 ,50.00 ,Neutral Density Filter ,400 - 700 ,#46-212 ,9.2 
"400-700nm OD 0.4, M30.5 x 0.5 Absorptive ND Filter",66-718,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,0.4 ,40.00 ,Neutral Density Filter ,400 - 700 ,#46-213 ,9.2 
"400-700nm OD 0.5, M30.5 x 0.5 Absorptive ND Filter",66-719,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,0.5 ,32.00 ,Neutral Density Filter ,400 - 700 ,#48-089 ,9.2 
"400-700nm OD 0.6, M30.5 x 0.5 Absorptive ND Filter",66-720,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,0.6 ,25.00 ,Neutral Density Filter ,400 - 700 ,#46-214 ,9.2 
"400-700nm OD 0.7, M30.5 x 0.5 Absorptive ND Filter",66-721,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,0.7 ,20.00 ,Neutral Density Filter ,400 - 700 ,#63-462 ,9.2 
"400-700nm OD 0.9, M30.5 x 0.5 Absorptive ND Filter",66-722,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,0.9 ,12.50 ,Neutral Density Filter ,400 - 700 ,#46-215 ,9.2 
"400-700nm OD 1.0, M30.5 x 0.5 Absorptive ND Filter",66-723,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,1.0 ,10.00 ,Neutral Density Filter ,400 - 700 ,#48-090 ,9.2 
"400-700nm OD 1.3, M30.5 x 0.5 Absorptive ND Filter",66-724,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,1.3 ,5.00 ,Neutral Density Filter ,400 - 700 ,#63-463 ,9.2 
"400-700nm OD 1.5, M30.5 x 0.5 Absorptive ND Filter",66-725,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,1.5 ,3.20 ,Neutral Density Filter ,400 - 700 ,#48-091 ,9.2 
"400-700nm OD 2.0, M30.5 x 0.5 Absorptive ND Filter",66-726,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,2.0 ,1.00 ,Neutral Density Filter ,400 - 700 ,#48-092 ,9.2 
"400-700nm OD 2.5, M30.5 x 0.5 Absorptive ND Filter",66-727,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,2.5 ,0.30 ,Neutral Density Filter ,400 - 700 ,#46-216 ,9.2 
"400-700nm OD 3.0, M30.5 x 0.5 Absorptive ND Filter",66-728,$59,22.0 ,Uncoated ,33.50 ,M30.5 x 0.5 ,ND Filter Glass ,3.0 ,0.10 ,Neutral Density Filter ,400 - 700 ,#48-093 ,9.2 
"700-1200nm OD 0.3, M25.5 x 0.5 Non-Reflective ND Filter",66-729,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,0.3 ,50.00 ,Neutral Density Filter ,700 - 1200 ,#63-406 ,9.9 
"700-1200nm OD 0.5, M25.5 x 0.5 Non-Reflective ND Filter",66-730,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,0.5 ,32.00 ,Neutral Density Filter ,700 - 1200 ,#63-407 ,9.9 
"700-1200nm OD 0.6, M25.5 x 0.5 Non-Reflective ND Filter",66-731,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,0.6 ,25.00 ,Neutral Density Filter ,700 - 1200 ,#63-408 ,9.9 
"700-1200nm OD 0.9, M25.5 x 0.5 Non-Reflective ND Filter",66-732,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,0.9 ,12.50 ,Neutral Density Filter ,700 - 1200 ,#63-409 ,9.9 
"700-1200nm OD 1.0, M25.5 x 0.5 Non-Reflective ND Filter",66-733,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,1.0 ,10.00 ,Neutral Density Filter ,700 - 1200 ,#63-410 ,9.9 
"700-1200nm OD 1.3, M25.5 x 0.5 Non-Reflective ND Filter",66-734,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,1.3 ,5.00 ,Neutral Density Filter ,700 - 1200 ,#63-411 ,9.9 
"700-1200nm OD 1.5, M25.5 x 0.5 Non-Reflective ND Filter",66-735,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,1.5 ,3.20 ,Neutral Density Filter ,700 - 1200 ,#63-412 ,9.9 
"700-1200nm OD 2.0, M25.5 x 0.5 Non-Reflective ND Filter",66-736,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,2.0 ,1.00 ,Neutral Density Filter ,700 - 1200 ,#63-413 ,9.9 
"700-1200nm OD 2.5, M25.5 x 0.5 Non-Reflective ND Filter",66-737,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,2.5 ,0.30 ,Neutral Density Filter ,700 - 1200 ,#63-414 ,9.9 
"700-1200nm OD 3.0, M25.5 x 0.5 Non-Reflective ND Filter",66-738,$119,22.0 ,Non-Reflective ND ,28.00 ,M25.5 x 0.5 ,B270 ,3.0 ,0.10 ,Neutral Density Filter ,700 - 1200 ,#63-415 ,9.9 
"700-1200nm OD 0.3, M30.5 x 0.5 Non-Reflective ND Filter",66-739,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,0.3 ,50.00 ,Neutral Density Filter ,700 - 1200 ,#63-406 ,9.2 
"700-1200nm OD 0.5, M30.5 x 0.5 Non-Reflective ND Filter",66-740,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,0.5 ,32.00 ,Neutral Density Filter ,700 - 1200 ,#63-407 ,9.2 
"700-1200nm OD 0.6, M30.5 x 0.5 Non-Reflective ND Filter",66-741,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,0.6 ,25.00 ,Neutral Density Filter ,700 - 1200 ,#63-408 ,9.2 
"700-1200nm OD 0.9, M30.5 x 0.5 Non-Reflective ND Filter",66-742,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,0.9 ,12.50 ,Neutral Density Filter ,700 - 1200 ,#63-409 ,9.2 
"700-1200nm OD 1.0, M30.5 x 0.5 Non-Reflective ND Filter",66-743,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,1.0 ,10.00 ,Neutral Density Filter ,700 - 1200 ,#63-140 ,9.2 
"700-1200nm OD 1.3, M30.5 x 0.5 Non-Reflective ND Filter",66-744,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,1.3 ,5.00 ,Neutral Density Filter ,700 - 1200 ,#63-411 ,9.2 
"700-1200nm OD 1.5, M30.5 x 0.5 Non-Reflective ND Filter",66-745,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,1.5 ,3.20 ,Neutral Density Filter ,700 - 1200 ,#63-412 ,9.2 
"700-1200nm OD 2.0, M30.5 x 0.5 Non-Reflective ND Filter",66-746,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,2.0 ,1.00 ,Neutral Density Filter ,700 - 1200 ,#63-413 ,9.2 
"700-1200nm OD 2.5, M30.5 x 0.5 Non-Reflective ND Filter",66-747,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,2.5 ,0.30 ,Neutral Density Filter ,700 - 1200 ,#63-414 ,9.2 
"700-1200nm OD 3.0, M30.5 x 0.5 Non-Reflective ND Filter",66-748,$119,22.0 ,Non-Reflective ND ,33.50 ,M30.5 x 0.5 ,B270 ,3.0 ,0.10 ,Neutral Density Filter ,700 - 1200 ,#63-415 ,9.2 
