Title,Stock Number,Price,Dia. (mm),CWL (nm),Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Bandwidth (nm),Optical Density OD,CA (mm),Coating,Construction,Durability,Substrate,Thickness (mm),Thickness Tolerance (mm),Type
"433 & 530nm, 12.5mm Dia., Dual-Band Filter",87-232,$250,12.50 +0.0/-0.1,433 & 530 ,>90 ,250 - 1100 ,DAPI & FITC Emission ,38 @ 433nm 40 @ 530nm ,?6.0 ,8.81 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"433 & 530nm, 25mm Dia., Dual-Band Filter",87-240,$335,25.00 +0.0/-0.1,433 & 530  ,>90 ,250 - 1100 ,DAPI & FITC Emission ,38 @ 433nm 40 @ 530nm ,?6.0 ,21.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"433 & 530nm, 50mm Dia., Dual-Band Filter",87-248,$825,50.00 +0.0/-0.1,433 & 530  ,>90 ,250 - 1100 ,DAPI & FITC Emission ,38 @ 433nm 40 @ 530nm ,?6.0 ,45.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"512 & 630nm, 12.5mm Dia., Dual-Band Filter",87-233,$250,12.50 +0.0/-0.1,512 & 630 ,>90 ,250 - 1100 ,GFP & TRITC Emission ,23 @ 512nm 91 @ 630nm ,?6.0 ,8.81 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"512 & 630nm, 25mm Dia., Dual-Band Filter",87-241,$335,25.00 +0.0/-0.1,512 & 630 ,>90 ,250 - 1100 ,GFP & TRITC Emission ,23 @ 512nm 91 @ 630nm ,?6.0 ,21.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"512 & 630nm, 50mm Dia., Dual-Band Filter",87-249,$825,50.00 +0.0/-0.1,512 & 630 ,>90 ,250 - 1100 ,GFP & TRITC Emission ,23 @ 512nm 91 @ 630nm ,?6.0 ,45.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"432, 517 & 615nm, 12.5mm Dia., Tri-Band Filter",87-236,$275,12.50 +0.0/-0.1,"432, 517, & 615 ",>90 ,250 - 1100 ,DAPI/FITC/TRITC Emission ,36 @ 432nm 23 @ 517nm 61 @ 615nm ,?6.0 ,8.81 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"432, 517 & 615nm, 25mm Dia., Tri-Band Filter",87-244,$375,25.00 +0.0/-0.1,"432, 517, & 615 ",>90 ,250 - 1100 ,DAPI/FITC/TRITC Emission ,36 @ 432nm 23 @ 517nm 61 @ 615nm ,?6.0 ,21.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"432, 517 & 615nm, 50mm Dia., Tri-Band Filter",87-252,$925,50.00 +0.0/-0.1,"432, 517, & 615 ",>90 ,250 - 1100 ,DAPI/FITC/TRITC Emission ,36 @ 432nm 23 @ 517nm 61 @ 615nm ,?6.0 ,45.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"457, 530 & 628nm, 12.5mm Dia., Tri-Band Filter",87-237,$275,12.50 +0.0/-0.1,"457, 530, & 628 ",>90 ,250 - 1100 ,DAPI/FITC/Texas Red Emission ,22 @ 457nm 20 @ 530nm 28 @ 628nm ,?6.0 ,8.81 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"457, 530 & 628nm, 25mm Dia., Tri-Band Filter",87-245,$375,25.00 +0.0/-0.1,"457, 530, & 628 ",>90 ,250 - 1100 ,DAPI/FITC/Texas Red Emission ,22 @ 457nm 20 @ 530nm 28 @ 628nm ,?6.0 ,21.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"457, 530 & 628nm, 50mm Dia., Tri-Band Filter",87-253,$925,50.00 +0.0/-0.1,"457, 530, & 628 ",>90 ,250 - 1100 ,DAPI/FITC/Texas Red Emission ,22 @ 457nm 20 @ 530nm 28 @ 628nm ,?6.0 ,45.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"524 & 628nm, 12.5mm Dia., Dual-Band Filter",87-234,$250,12.50 +0.0/-0.1,524 & 628 ,>90 ,250 - 1100 ,FITC & Texas Red Emission ,29 @ 524nm 33 @ 628nm ,?6.0 ,8.81 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"524 & 628nm, 25mm Dia., Dual-Band Filter",87-242,$335,25.00 +0.0/-0.1,524 & 628 ,>90 ,250 - 1100 ,FITC & Texas Red Emission ,29 @ 524nm 33 @ 628nm ,?6.0 ,21.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"464, 542 & 639nm, 12.5mm Dia., Tri-Band Filter",87-238,$275,12.50 +0.0/-0.1,"464, 542, & 639 ",>90 ,250 - 1100 ,CFP/YFP/Texas Red Emission ,23 @ 464nm 27 @ 542nm 42 @ 639nm ,?6.0 ,8.81 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"464, 542 & 639nm, 25mm Dia., Tri-Band Filter",87-246,$375,25.00 +0.0/-0.1,"464, 542, & 639 ",>90 ,250 - 1100 ,CFP/YFP/Texas Red Emission ,23 @ 464nm 27 @ 542nm 42 @ 639nm ,?6.0 ,21.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"464, 542 & 639nm, 50mm Dia., Tri-Band Filter",87-254,$925,50.00 +0.0/-0.1,"464, 542, & 639 ",>90 ,250 - 1100 ,CFP/YFP/Texas Red Emission ,23 @ 464nm 27 @ 542nm 42 @ 639nm ,?6.0 ,45.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"440, 521, 607 & 700nm, 12.5mm Dia., Quad-Band Filter",87-239,$310,12.50 +0.0/-0.1,"440, 521, 607, & 700 ",>90 ,250 - 1100 ,DAPI/FITC/TRITC/CY5 Emission ,40 @ 440nm 21 @ 521nm 34 @ 607nm 45 @ 700nm ,?6.0 ,8.81 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"440, 521, 607 & 700nm, 25mm Dia., Quad-Band Filter",87-247,$425,25.00 +0.0/-0.1,"440, 521, 607, & 700 ",>90 ,250 - 1100 ,DAPI/FITC/TRITC/CY5 Emission ,40 @ 440nm 21 @ 521nm 34 @ 607nm 45 @ 700nm ,?6.0 ,21.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"440, 521, 607 & 700nm, 50mm Dia., Quad-Band Filter",87-255,$1050,50.00 +0.0/-0.1,"440, 521, 607, & 700 ",>90 ,250 - 1100 ,DAPI/FITC/TRITC/CY5 Emission ,40 @ 440nm 21 @ 521nm 34 @ 607nm 45 @ 700nm ,?6.0 ,45.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"577 & 690nm, 12.5mm Dia., Dual-Band Filter",87-235,$250,12.50 +0.0/-0.1,577 & 690 ,>90 ,250 - 1100 ,CY3 & CY5 Emission ,24 @ 577nm 50 @ 690nm ,?6.0 ,8.81 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"577 & 690nm, 25mm Dia., Dual-Band Filter",87-243,$335,25.00 +0.0/-0.1,577 & 690 ,>90 ,250 - 1100 ,CY3 & CY5 Emission ,24 @ 577nm 50 @ 690nm ,?6.0 ,21.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
"577 & 690nm, 50mm Dia., Dual-Band Filter",87-251,$825,50.00 +0.0/-0.1,577 & 690 ,>90 ,250 - 1100 ,CY3 & CY5 Emission ,24 @ 577nm 50 @ 690nm ,?6.0 ,45.34 ,Hard Coated ,Mounted in Black Anodized Ring ,MIL-C-48497A ,Fused Silica ,3.50 ,±0.1 ,Bandpass Filter 
