"","nm.min","nm.max","name","price","block.min","block.max"
"1",400,750,"12.5mm Diameter 45°, Red Dichroic Filter",65,NA,NA
"2",400,750,"25mm Diameter 45°, Red Dichroic Filter",75,NA,NA
"3",400,750,"35mm Square 45°, Red Dichroic Filter",99,NA,NA
"4",400,750,"50mm Square 45°, Red Dichroic Filter",125,NA,NA
"5",520,800,"12.5mm Diameter 45°, Green Dichroic Filter",65,NA,NA
"6",520,800,"25mm Diameter 45°, Green Dichroic Filter",75,NA,NA
"7",520,800,"35mm Square 45°, Green Dichroic Filter",99,NA,NA
"8",520,800,"50mm Square 45°, Green Dichroic Filter",125,NA,NA
"9",400,800,"12.5mm Diameter 45°, Blue Dichroic Filter",65,NA,NA
"10",400,800,"25mm Diameter 45°, Blue Dichroic Filter",75,NA,NA
"11",400,800,"35mm Square 45°, Blue Dichroic Filter",99,NA,NA
"12",400,800,"50mm Square 45°, Blue Dichroic Filter",125,NA,NA
"13",400,725,"12.5mm Diameter 45°, Cyan Dichroic Filter",65,NA,NA
"14",400,725,"25mm Diameter 45°, Cyan Dichroic Filter",75,NA,NA
"15",400,725,"35mm Square 45°, Cyan Dichroic Filter",99,NA,NA
"16",400,725,"50mm Square 45°, Cyan Dichroic Filter",125,NA,NA
"17",400,725,"12.5mm Diameter 45°, Yellow Dichroic Filter",65,NA,NA
"18",400,725,"25mm Diameter 45°, Yellow Dichroic Filter",75,NA,NA
"19",400,725,"35mm Square 45°, Yellow Dichroic Filter",99,NA,NA
"20",400,725,"50mm Square 45°, Yellow Dichroic Filter",125,NA,NA
"21",400,725,"12.5mm Diameter 45°, Magenta Dichroic Filter",65,NA,NA
"22",400,725,"25mm Diameter 45°, Magenta Dichroic Filter",75,NA,NA
"23",400,725,"35mm Square 45°, Magenta Dichroic Filter",99,NA,NA
"24",400,725,"50mm Square 45°, Magenta Dichroic Filter",125,NA,NA
"25",NA,NA,"0.1 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"26",NA,NA,"0.1 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"27",NA,NA,"0.1 OD 50mm Sq, Absorptive ND Filter",79,400,700
"28",NA,NA,"0.1 OD 50mm Dia, Absorptive ND Filter",79,400,700
"29",NA,NA,"0.15 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"30",NA,NA,"0.15 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"31",NA,NA,"0.15 OD 50mm Sq, Absorptive ND Filter",79,400,700
"32",NA,NA,"0.15 OD 50mm Dia, Absorptive ND Filter",79,400,700
"33",NA,NA,"0.2 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"34",NA,NA,"0.2 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"35",NA,NA,"0.2 OD 50mm Sq, Absorptive ND Filter",79,400,700
"36",NA,NA,"0.2 OD 50mm Dia, Absorptive ND Filter",79,400,700
"37",NA,NA,"0.3 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"38",NA,NA,"0.3 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"39",NA,NA,"0.3 OD 50mm Sq, Absorptive ND Filter",79,400,700
"40",NA,NA,"0.3 OD 50mm Dia, Absorptive ND Filter",79,400,700
"41",NA,NA,"0.4 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"42",NA,NA,"0.4 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"43",NA,NA,"0.4 OD 50mm Sq, Absorptive ND Filter",79,400,700
"44",NA,NA,"0.4 OD 50mm Dia, Absorptive ND Filter",79,400,700
"45",NA,NA,"0.5 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"46",NA,NA,"0.5 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"47",NA,NA,"0.5 OD 50mm Sq, Absorptive ND Filter",79,400,700
"48",NA,NA,"0.5 OD 50mm Dia, Absorptive ND Filter",79,400,700
"49",NA,NA,"0.6 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"50",NA,NA,"0.6 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"51",NA,NA,"0.6 OD 50mm Sq, Absorptive ND Filter",79,400,700
"52",NA,NA,"0.6 OD 50mm Dia, Absorptive ND Filter",79,400,700
"53",NA,NA,"0.7 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"54",NA,NA,"0.7 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"55",NA,NA,"0.7 OD 50mm Sq, Absorptive ND Filter",79,400,700
"56",NA,NA,"0.7 OD 50mm Dia, Absorptive ND Filter",79,400,700
"57",NA,NA,"0.9 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"58",NA,NA,"0.9 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"59",NA,NA,"0.9 OD 50mm Sq, Absorptive ND Filter",79,400,700
"60",NA,NA,"0.9 OD 50mm Dia, Absorptive ND Filter",79,400,700
"61",NA,NA,"1.0 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"62",NA,NA,"1.0 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"63",NA,NA,"1.0 OD 50mm Sq, Absorptive ND Filter",79,400,700
"64",NA,NA,"1.0 OD 50mm Dia, Absorptive ND Filter",79,400,700
"65",NA,NA,"1.3 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"66",NA,NA,"1.3 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"67",NA,NA,"1.3 OD 50mm Sq, Absorptive ND Filter",79,400,700
"68",NA,NA,"1.3 OD 50mm Dia, Absorptive ND Filter",79,400,700
"69",NA,NA,"1.5 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"70",NA,NA,"1.5 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"71",NA,NA,"1.5 OD 50mm Sq, Absorptive ND Filter",79,400,700
"72",NA,NA,"1.5 OD 50mm Dia, Absorptive ND Filter",79,400,700
"73",NA,NA,"2.0 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"74",NA,NA,"2.0 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"75",NA,NA,"2.0 OD 50mm Sq, Absorptive ND Filter",79,400,700
"76",NA,NA,"2.0 OD 50mm Dia, Absorptive ND Filter",79,400,700
"77",NA,NA,"2.5 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"78",NA,NA,"2.5 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"79",NA,NA,"2.5 OD 50mm Sq, Absorptive ND Filter",79,400,700
"80",NA,NA,"2.5 OD 50mm Dia, Absorptive ND Filter",79,400,700
"81",NA,NA,"3.0 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"82",NA,NA,"3.0 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"83",NA,NA,"3.0 OD 50mm Sq, Absorptive ND Filter",79,400,700
"84",NA,NA,"3.0 OD 50mm Dia, Absorptive ND Filter",79,400,700
"85",NA,NA,"3.5 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"86",NA,NA,"3.5 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"87",NA,NA,"3.5 OD 50mm Dia, Absorptive ND Filter",79,400,700
"88",NA,NA,"3.5 OD 50mm Sq., Absorptive ND Filter",79,400,700
"89",NA,NA,"4 OD 12.5mm Dia, Absorptive ND Filter",26.5,400,700
"90",NA,NA,"4 OD 25mm Dia, Absorptive ND Filter",37.5,400,700
"91",NA,NA,"4 OD 50mm Dia, Absorptive ND Filter",79,400,700
"92",NA,NA,"4 OD 50mm Sq., Absorptive ND Filter",79,400,700
"227",372,647,"427nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",145,NA,NA
"228",439,647,"466nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",145,NA,NA
"229",458,647,"480nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",145,NA,NA
"230",473,647,"503nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",145,NA,NA
"231",515,790,"552nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",145,NA,NA
"232",561,790,"613nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",145,NA,NA
"233",633,790,"659nm, 12.5mm Diameter, Dichroic Laser Beam Combiner",145,NA,NA
"234",372,647,"427nm, 25mm Diameter, Dichroic Laser Beam Combiner",195,NA,NA
"235",439,647,"466nm, 25mm Diameter, Dichroic Laser Beam Combiner",195,NA,NA
"236",458,647,"480nm, 25mm Diameter, Dichroic Laser Beam Combiner",195,NA,NA
"237",473,647,"503nm, 25mm Diameter, Dichroic Laser Beam Combiner",195,NA,NA
"238",515,790,"552nm, 25mm Diameter, Dichroic Laser Beam Combiner",195,NA,NA
"239",561,790,"613nm, 25mm Diameter, Dichroic Laser Beam Combiner",195,NA,NA
"240",633,790,"659nm, 25mm Diameter, Dichroic Laser Beam Combiner",195,NA,NA
"241",372,647,"427nm, 50mm Diameter, Dichroic Laser Beam Combiner",475,NA,NA
"242",439,647,"466nm, 50mm Diameter, Dichroic Laser Beam Combiner",475,NA,NA
"243",458,647,"480nm, 50mm Diameter, Dichroic Laser Beam Combiner",475,NA,NA
"244",473,647,"503nm, 50mm Diameter, Dichroic Laser Beam Combiner",475,NA,NA
"245",515,790,"552nm, 50mm Diameter, Dichroic Laser Beam Combiner",475,NA,NA
"246",561,790,"613nm, 50mm Diameter, Dichroic Laser Beam Combiner",475,NA,NA
"247",633,790,"659nm, 50mm Diameter, Dichroic Laser Beam Combiner",475,NA,NA
"248",350,1600,"400nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"249",350,1600,"450nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"250",350,1600,"500nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"251",415,1600,"550nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"252",460,1600,"600nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"253",495,1600,"650nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"254",535,1600,"700nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"255",565,1600,"750nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"256",600,1600,"800nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"257",635,1600,"850nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"258",675,1600,"900nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"259",350,1600,"400nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"260",350,1600,"450nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"261",350,1600,"500nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"262",415,1600,"550nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"263",460,1600,"600nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"264",495,1600,"650nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"265",535,1600,"700nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"266",565,1600,"750nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"267",600,1600,"800nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"268",635,1600,"850nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"269",675,1600,"900nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"270",350,1600,"400nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"271",350,1600,"450nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"272",350,1600,"500nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"273",415,1600,"550nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"274",406,1600,"600nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"275",495,1600,"650nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"276",535,1600,"700nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"277",565,1600,"750nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"278",600,1600,"800nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"279",635,1600,"850nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"280",675,1600,"900nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"281",350,1600,"400nm, 25.2 x 35.6mm, Dichroic Longpass Filter",135,NA,NA
"282",350,1600,"450nm, 25.2 x 35.6mm, Dichroic Longpass Filter ",135,NA,NA
"283",350,1600,"500nm, 25.2 x 35.6mm, Dichroic Longpass Filter",135,NA,NA
"284",415,1600,"550nm, 25.2 x 35.6mm, Dichroic Longpass Filter",135,NA,NA
"285",460,1600,"600nm, 25.2 x 35.6mm, Dichroic Longpass Filter ",135,NA,NA
"286",495,1600,"650nm, 25.2 x 35.6mm, Dichroic Longpass Filter",135,NA,NA
"287",535,1600,"700nm, 25.2 x 35.6mm, Dichroic Longpass Filter",135,NA,NA
"288",565,1600,"750nm, 25.2 x 35.6mm, Dichroic Longpass Filter",135,NA,NA
"289",600,1600,"800nm, 25.2 x 35.6mm, Dichroic Longpass Filter ",135,NA,NA
"290",635,1600,"850nm, 25.2 x 35.6mm, Dichroic Longpass Filter ",135,NA,NA
"291",675,1600,"900nm, 25.2 x 35.6mm, Dichroic Longpass Filter ",135,NA,NA
"292",715,1600,"950nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"293",750,1600,"1000nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"294",790,1600,"1050nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"295",825,1600,"1100nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"296",875,1600,"1150nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"297",920,1600,"1200nm, 12.5mm Diameter, Dichroic Longpass Filter",99,NA,NA
"298",715,1600,"950nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"299",750,1600,"1000nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"300",790,1600,"1050nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"301",825,1600,"1100nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"302",875,1600,"1150nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"303",920,1600,"1200nm, 12.5 x 17.6mm, Dichroic Longpass Filter",99,NA,NA
"304",715,1600,"950nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"305",750,1600,"1000nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"306",790,1600,"1050nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"307",825,1600,"1100nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"308",875,1095,"1150nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"309",920,1600,"1200nm, 25mm Diameter, Dichroic Longpass Filter",135,NA,NA
"310",715,1600,"950nm, 25.2 x 35.6mm, Dichroic Longpass Filter",135,NA,NA
"311",750,1600,"1000nm, 25.2 x 35.6mm, Dichroic Longpass Filter",135,NA,NA
"312",790,1600,"1050nm, 25.2 x 35.6mm, Dichroic Longpass Filter",135,NA,NA
"313",825,1600,"1100nm, 25.2 x 35.6mm, Dichroic Longpass Filter",135,NA,NA
"314",875,1600,"1150nm, 25.2 x 35.6mm, Dichroic Longpass Filter",135,NA,NA
"315",920,1600,"1200nm, 25.2 x 35.6mm, Dichroic Longpass Filter",135,NA,NA
"316",325,485,"400nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"317",325,545,"450nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"318",325,610,"500nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"319",400,725,"550nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"320",400,795,"600nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"321",400,850,"650nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"322",400,900,"700nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"323",400,990,"750nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"324",400,1050,"800nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"325",400,1110,"850nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"326",465,1170,"900nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"327",325,485,"400nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",99,NA,NA
"328",325,545,"450nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",99,NA,NA
"329",325,610,"500nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",99,NA,NA
"330",400,725,"550nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",99,NA,NA
"331",400,795,"600nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",99,NA,NA
"332",400,850,"650nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",99,NA,NA
"333",400,900,"700nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",99,NA,NA
"334",400,990,"750nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",99,NA,NA
"335",400,1050,"800nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",99,NA,NA
"336",400,1110,"850nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",99,NA,NA
"337",465,1170,"900nm, 12.5 x 17.6mm, Dichroic Shortpass Filter ",99,NA,NA
"338",325,485,"400nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"339",325,545,"450nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"340",325,610,"500nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"341",400,725,"550nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"342",400,795,"600nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"343",400,850,"650nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"344",400,900,"700nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"345",400,990,"750nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"346",400,1050,"800nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"347",400,1110,"850nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"348",465,1170,"900nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"349",325,485,"400nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"350",325,545,"450nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"351",325,610,"500nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"352",400,725,"550nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"353",400,795,"600nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"354",400,850,"650nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"355",400,900,"700nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"356",400,990,"750nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"357",400,1050,"800nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"358",400,1110,"850nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"359",465,1170,"900nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"360",495,1235,"950nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"361",520,1300,"1000nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"362",546,1365,"1050nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"363",572,1430,"1100nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"364",598,1495,"1150nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"365",624,1560,"1200nm, 12.5mm Diameter, Dichroic Shortpass Filter",99,NA,NA
"366",495,1235,"950nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",99,NA,NA
"367",520,1300,"1000nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",99,NA,NA
"368",546,1365,"1050nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",99,NA,NA
"369",572,1430,"1100nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",99,NA,NA
"370",598,1495,"1150nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",99,NA,NA
"371",624,1560,"1200nm, 12.5 x 17.6mm, Dichroic Shortpass Filter",99,NA,NA
"372",495,1325,"950nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"373",520,1300,"1000nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"374",546,1365,"1050nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"375",572,1430,"1100nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"376",598,1495,"1150nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"377",624,1560,"1200nm, 25mm Diameter, Dichroic Shortpass Filter",135,NA,NA
"378",495,1235,"950nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"379",520,1300,"1000nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"380",546,1365,"1050nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"381",572,1430,"1100nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"382",598,1495,"1150nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"383",624,1560,"1200nm, 25.2 x 35.6mm, Dichroic Shortpass Filter",135,NA,NA
"605",325,850,"409nm, 12.5mm Diameter, Dichroic Filter",150,NA,NA
"606",325,850,"409nm, 12.5 x 17.6mm, Dichroic Filter ",150,NA,NA
"607",325,850,"409nm, 25.0mm Diameter, Dichroic Filter ",205,NA,NA
"608",325,850,"409nm, 25.2 x 35.6mm, Dichroic Filter ",205,NA,NA
"609",325,850,"435nm, 12.5mm Diameter, Dichroic Filter",150,NA,NA
"610",325,850,"435nm, 12.5 x 17.6mm, Dichroic Filter",150,NA,NA
"611",325,850,"435nm, 25.2 x 35.6mm, Dichroic Filter",205,NA,NA
"612",325,850,"435nm, 25mm Diameter, Dichroic Filter",205,NA,NA
